Time,RX,TX
2018-04-15T01:46:27.296Z,0.5833778381347656,0.012002944946289062
2018-04-15T01:46:28.300Z,0.6714534759521484,0.01445770263671875
2018-04-15T01:46:29.311Z,0.6600685119628906,0.014394760131835938
2018-04-15T01:46:30.319Z,0.6700096130371094,0.014520645141601562
2018-04-15T01:46:31.325Z,0.6743412017822266,0.014646530151367188
2018-04-15T01:46:32.332Z,0.6671218872070312,0.014331817626953125
2018-04-15T01:46:33.343Z,0.6858921051025391,0.014835357666015625
2018-04-15T01:46:34.350Z,0.661346435546875,0.014268875122070312
2018-04-15T01:46:35.361Z,0.6830043792724609,0.014772415161132812
2018-04-15T01:46:36.366Z,0.6700096130371094,0.014520645141601562
2018-04-15T01:46:37.380Z,0.6714534759521484,0.01445770263671875
2018-04-15T01:46:38.386Z,0.6772289276123047,0.014583587646484375
2018-04-15T01:46:39.390Z,0.6844482421875,0.014898300170898438
2018-04-15T01:46:40.394Z,0.6627902984619141,0.014394760131835938
2018-04-15T01:46:41.405Z,0.6873359680175781,0.014835357666015625
2018-04-15T01:46:42.417Z,0.4479255676269531,0.009862899780273438
2018-04-15T01:46:43.427Z,0.000057220458984375,0.000232696533203125
2018-04-15T01:46:44.437Z,0.0001430511474609375,0.0002899169921875
