Time,RX,TX
2018-04-15T02:24:11.645Z,0.7826309204101562,0.01647186279296875
2018-04-15T02:24:12.651Z,0.77685546875,0.016849517822265625
2018-04-15T02:24:13.657Z,0.77685546875,0.016786575317382812
2018-04-15T02:24:14.669Z,0.7884063720703125,0.016912460327148438
2018-04-15T02:24:15.677Z,0.7681922912597656,0.016660690307617188
2018-04-15T02:24:16.686Z,0.7826309204101562,0.016786575317382812
2018-04-15T02:24:17.697Z,0.77685546875,0.016786575317382812
2018-04-15T02:24:18.708Z,0.7855186462402344,0.016786575317382812
2018-04-15T02:24:19.711Z,0.7725238800048828,0.0167236328125
2018-04-15T02:24:20.715Z,0.77685546875,0.016786575317382812
2018-04-15T02:24:21.723Z,0.7826309204101562,0.0167236328125
2018-04-15T02:24:22.724Z,0.7710800170898438,0.016786575317382812
2018-04-15T02:24:23.727Z,0.7696361541748047,0.016597747802734375
2018-04-15T02:24:24.734Z,0.7898502349853516,0.016786575317382812
2018-04-15T02:24:25.739Z,0.7754116058349609,0.0167236328125
2018-04-15T02:24:26.744Z,0.7725238800048828,0.016786575317382812
2018-04-15T02:24:27.748Z,0.7710800170898438,0.016660690307617188
2018-04-15T02:24:28.752Z,0.7841625213623047,0.016912460327148438
