Time,RX,TX
2018-04-15T01:51:26.467Z,0.04133033752441406,2.2172183990478516
2018-04-15T01:51:27.478Z,0.0500335693359375,2.394041061401367
2018-04-15T01:51:28.484Z,0.049655914306640625,2.3767147064208984
2018-04-15T01:51:29.490Z,0.04994773864746094,2.385377883911133
2018-04-15T01:51:30.495Z,0.049655914306640625,2.3767147064208984
2018-04-15T01:51:31.505Z,0.0500335693359375,2.391153335571289
2018-04-15T01:51:32.503Z,0.049404144287109375,2.368051528930664
2018-04-15T01:51:33.523Z,0.0500335693359375,2.4055919647216797
2018-04-15T01:51:34.529Z,0.04984474182128906,2.3824901580810547
2018-04-15T01:51:35.534Z,0.049655914306640625,2.378244400024414
2018-04-15T01:51:36.543Z,0.04971885681152344,2.3867359161376953
2018-04-15T01:51:37.550Z,0.04934120178222656,2.388265609741211
2018-04-15T01:51:38.556Z,0.049404144287109375,2.378244400024414
2018-04-15T01:51:39.571Z,0.04978179931640625,2.401174545288086
2018-04-15T01:51:40.583Z,0.0500335693359375,2.394041061401367
2018-04-15T01:51:41.596Z,0.04978179931640625,2.3912391662597656
2018-04-15T01:51:42.605Z,0.049655914306640625,2.3939552307128906
2018-04-15T01:51:43.618Z,0.050159454345703125,2.4027042388916016
